"data","faturamento","qtd_vendas","ticket_medio"
"2016-09-27","104621.00","21","4981.95"
"2015-10-10","93470.00","20","4673.50"
"2020-12-23","229965.25","30","7665.51"
"2024-09-29","271050.00","38","7132.89"
"2015-08-07","45826.00","22","2083.00"
"2017-06-13","50407.00","26","1938.73"
"2021-11-10","213880.18","31","6899.36"
"2022-01-22","251191.39","33","7611.86"
"2018-11-27","137609.98","26","5292.69"
"2020-07-13","220841.67","30","7361.39"
"2023-01-28","235707.48","36","6547.43"
"2024-04-13","214106.58","38","5634.38"
"2024-04-17","338725.52","38","8913.83"
"2023-09-17","281070.88","36","7807.52"
"2016-10-10","56312.00","27","2085.63"
"2023-11-20","200624.46","36","5572.90"
"2023-02-26","264486.41","35","7556.75"
"2015-05-06","51608.00","23","2243.83"
"2022-07-12","214083.92","34","6296.59"
"2025-06-24","288373.28","41","7033.49"
"2018-10-14","279373.18","26","10745.12"
"2015-06-15","137982.00","31","4451.03"
"2017-02-18","73014.00","23","3174.52"
"2018-07-20","205494.65","26","7903.64"
"2017-08-24","78508.00","30","2616.93"
"2023-08-18","208073.73","35","5944.96"
"2025-08-19","298900.12","41","7290.25"
"2017-09-06","86054.00","19","4529.16"
"2019-05-05","159815.60","28","5707.70"
"2025-12-26","306945.93","41","7486.49"
"2021-10-03","214497.59","32","6703.05"
"2025-07-01","305346.31","41","7447.47"
"2023-09-04","301770.02","35","8622.00"
"2015-10-03","91507.00","26","3519.50"
"2020-06-11","303046.54","30","10101.55"
"2017-01-10","125917.00","26","4842.96"
"2018-02-21","159282.95","26","6126.27"
"2015-10-12","83220.00","24","3467.50"
"2023-05-28","220559.72","35","6301.71"
"2025-02-23","304822.56","41","7434.70"
"2020-04-23","201167.38","31","6489.27"
"2023-06-28","295508.85","35","8443.11"
"2016-09-08","68941.00","20","3447.05"
"2023-11-07","256494.36","36","7124.84"
"2016-06-20","74752.00","24","3114.67"
"2025-12-27","350666.66","46","7623.19"
"2015-05-18","108537.00","22","4933.50"
"2024-11-09","254207.03","38","6689.66"
"2023-08-01","377896.16","36","10497.12"
"2025-05-08","365674.28","41","8918.88"
"2015-04-13","132705.00","25","5308.20"
"2018-05-22","237679.51","26","9141.52"
"2019-08-03","238619.32","29","8228.25"
"2023-01-01","225100.49","36","6252.79"
"2023-03-16","219384.30","35","6268.12"
"2018-07-31","191528.90","26","7366.50"
"2018-01-07","168314.68","26","6473.64"
"2021-12-05","157002.52","31","5064.60"
"2021-09-29","213439.81","31","6885.16"
"2018-02-26","237995.36","27","8814.64"
"2021-01-21","285849.77","32","8932.81"
"2022-08-23","154114.97","33","4670.15"
"2018-12-04","215730.41","27","7990.02"
"2022-08-07","237657.19","34","6989.92"
"2017-05-02","92369.00","25","3694.76"
"2024-07-07","207272.20","39","5314.67"
"2023-01-16","311892.66","36","8663.69"
"2021-08-18","231925.99","31","7481.48"
"2022-08-20","214194.29","33","6490.74"
"2019-12-19","236052.68","29","8139.75"
"2019-09-02","234762.24","29","8095.25"
"2017-10-13","120399.00","34","3541.15"
"2022-03-24","224823.66","34","6612.46"
"2016-09-04","53671.00","29","1850.72"
"2019-07-21","219806.29","29","7579.53"
"2022-11-27","266292.40","34","7832.13"
"2025-10-09","377425.24","40","9435.63"
"2017-09-21","44252.00","24","1843.83"
"2021-02-10","147890.39","32","4621.57"
"2020-08-03","190077.35","30","6335.91"
"2024-02-18","244432.76","39","6267.51"
"2022-03-03","255626.44","34","7518.42"
"2024-03-16","277224.61","39","7108.32"
"2020-08-24","242410.47","30","8080.35"
"2021-11-11","234100.76","32","7315.65"
"2023-08-12","298249.97","35","8521.43"
"2020-03-08","250711.31","30","8357.04"
"2015-02-02","71629.00","20","3581.45"
"2024-09-09","313067.07","38","8238.61"
"2022-11-23","270535.79","34","7956.94"
"2020-09-18","176315.20","30","5877.17"
"2018-05-29","174839.32","26","6724.59"
"2022-11-20","259217.40","34","7624.04"
"2025-05-31","251676.32","41","6138.45"
"2017-01-01","113285.00","30","3776.17"
"2018-09-01","211443.35","26","8132.44"
"2020-03-24","180190.98","31","5812.61"
"2020-06-30","235699.42","30","7856.65"
"2023-01-07","247528.48","35","7072.24"
"2019-06-15","167971.44","28","5998.98"
